Energy (MeV),Na-22 Counts,Na-22 Relative Error,Co-60 Counts,Co-60 Relative Error,Cs-137 Counts,Cs-137 Relative Error
0.0,0.000952532,0.0102,0.0012985,0.0088,0.0022694,0.0066
0.001,6.15633e-05,0.0403,8.34999e-05,0.0346,0.0002057,0.022
0.0029521,0.000119629,0.0289,0.0001611,0.0249,0.0004195,0.0154
0.0049043,0.000114032,0.0296,0.0001509,0.0257,0.0004389,0.0151
0.0068564,0.000111434,0.0299,0.0001516,0.0257,0.0004717,0.0146
0.0088086,0.000103138,0.0311,0.0001421,0.0265,0.0005182,0.0139
0.010761,8.82473e-05,0.0337,0.0001182,0.0291,0.0005732,0.0132
0.012713,7.83532e-05,0.0357,0.0001053,0.0308,0.000641,0.0125
0.014665,6.98583e-05,0.0378,9.15998e-05,0.033,0.0006832,0.0121
0.016617,6.0364e-05,0.0407,7.76999e-05,0.0359,0.0007767,0.0113
0.018569,4.79714e-05,0.0456,6.25999e-05,0.04,0.0008569,0.0108
0.020521,4.00761e-05,0.0499,5.26999e-05,0.0436,0.0009621,0.0102
0.022474,3.49791e-05,0.0535,4.18999e-05,0.0489,0.0010545,0.0097
0.024426,2.54848e-05,0.0626,3.20999e-05,0.0558,0.0011558,0.0093
0.026378,1.96883e-05,0.0712,2.31e-05,0.0658,0.0012393,0.009
0.02833,1.80892e-05,0.0743,2.02e-05,0.0704,0.0013404,0.0086
0.030282,1.29922e-05,0.0877,1.34e-05,0.0864,0.0013539,0.0086
0.032234,1.38917e-05,0.0848,1.26e-05,0.0891,0.0013839,0.0085
0.034187,8.89469e-06,0.106,8.39999e-06,0.1091,0.0013967,0.0085
0.036139,8.39499e-06,0.1091,6.69999e-06,0.1222,0.0013682,0.0085
0.038091,9.79416e-06,0.101,5.89999e-06,0.1302,0.0013144,0.0087
0.040043,8.39499e-06,0.1091,4.79999e-06,0.1443,0.001219,0.0091
0.041995,9.09457e-06,0.1048,4.29999e-06,0.1525,0.0011246,0.0094
0.043947,8.99463e-06,0.1054,4.79999e-06,0.1443,0.0009892,0.01
0.045899,9.69421e-06,0.1015,4.29999e-06,0.1525,0.0008668,0.0107
0.047852,9.59427e-06,0.1021,4.89999e-06,0.1429,0.0007283,0.0117
0.049804,8.19511e-06,0.1104,3.79999e-06,0.1622,0.0005981,0.0129
0.051756,9.39439e-06,0.1031,3.99999e-06,0.1581,0.0004918,0.0143
0.053708,9.39439e-06,0.1031,4.29999e-06,0.1525,0.0003988,0.0158
0.05566,1.09934e-05,0.0953,3.49999e-06,0.169,0.0003049,0.0181
0.057612,1.1793e-05,0.0921,4.39999e-06,0.1508,0.0002361,0.0206
0.059564,1.09934e-05,0.0953,5.09999e-06,0.14,0.0001736,0.024
0.061517,1.1793e-05,0.0921,4.49999e-06,0.1491,0.0001262,0.0281
0.063469,1.34919e-05,0.0861,4.09999e-06,0.1562,8.81e-05,0.0337
0.065421,1.35919e-05,0.0857,4.69999e-06,0.1459,6.38e-05,0.0396
0.067373,1.31921e-05,0.087,4.69999e-06,0.1459,4.65e-05,0.0464
0.069325,1.69899e-05,0.0767,4.69999e-06,0.1459,3.21e-05,0.0558
0.071277,1.55907e-05,0.0801,4.29999e-06,0.1525,2.68e-05,0.0611
0.073229,1.56906e-05,0.0798,3.79999e-06,0.1622,1.74e-05,0.0758
0.075182,1.46912e-05,0.0825,3.59999e-06,0.1667,1.25e-05,0.0894
0.077134,1.65901e-05,0.0776,3.59999e-06,0.1667,1.13e-05,0.0941
0.079086,1.63902e-05,0.0781,3.69999e-06,0.1644,1.1e-05,0.0953
0.081038,1.79893e-05,0.0745,3.09999e-06,0.1796,7.9e-06,0.1125
0.08299,1.99881e-05,0.0707,4.59999e-06,0.1474,8.5e-06,0.1085
0.084942,2.09875e-05,0.069,4.89999e-06,0.1429,8.8e-06,0.1066
0.086895,2.19869e-05,0.0674,3.79999e-06,0.1622,7.5e-06,0.1155
0.088847,2.20868e-05,0.0673,3.99999e-06,0.1581,9.5e-06,0.1026
0.090799,2.15871e-05,0.068,3.69999e-06,0.1644,1.09e-05,0.0958
0.092751,2.37858e-05,0.0648,3.49999e-06,0.169,9.3e-06,0.1037
0.094703,2.36859e-05,0.065,4.29999e-06,0.1525,1.17e-05,0.0924
0.096655,2.48851e-05,0.0634,4.49999e-06,0.1491,1.14e-05,0.0937
0.098607,2.39857e-05,0.0645,2.9e-06,0.1857,1.18e-05,0.0921
0.10056,2.60844e-05,0.0619,4.29999e-06,0.1525,1.01e-05,0.0995
0.10251,2.86829e-05,0.059,4.19999e-06,0.1543,1.16e-05,0.0928
0.10446,2.63843e-05,0.0615,4.59999e-06,0.1474,1.22e-05,0.0905
0.10642,3.13813e-05,0.0564,4.39999e-06,0.1508,1.34e-05,0.0864
0.10837,3.32801e-05,0.0548,3.99999e-06,0.1581,1.42e-05,0.0839
0.11032,3.37798e-05,0.0544,4.89999e-06,0.1429,1.2e-05,0.0913
0.11227,3.31802e-05,0.0549,3.99999e-06,0.1581,1.49e-05,0.0819
0.11422,3.58786e-05,0.0528,5.49999e-06,0.1348,1.55e-05,0.0803
0.11618,3.54788e-05,0.0531,4.59999e-06,0.1474,1.41e-05,0.0842
0.11813,3.74776e-05,0.0516,3.89999e-06,0.1601,1.71e-05,0.0765
0.12008,3.57786e-05,0.0529,5.59999e-06,0.1336,1.57e-05,0.0798
0.12203,4.46733e-05,0.0473,4.29999e-06,0.1525,1.57e-05,0.0798
0.12399,3.95764e-05,0.0503,3.49999e-06,0.169,1.69e-05,0.0769
0.12594,3.90767e-05,0.0506,4.49999e-06,0.1491,1.56e-05,0.0801
0.12789,3.99761e-05,0.05,3.89999e-06,0.1601,1.99e-05,0.0709
0.12984,4.16751e-05,0.049,4.29999e-06,0.1525,1.94e-05,0.0718
0.13179,4.26745e-05,0.0484,3.49999e-06,0.169,1.9e-05,0.0725
0.13375,4.84711e-05,0.0454,4.39999e-06,0.1508,1.67e-05,0.0774
0.1357,4.60725e-05,0.0466,4.79999e-06,0.1443,1.82e-05,0.0741
0.13765,4.8671e-05,0.0453,3.69999e-06,0.1644,1.91e-05,0.0724
0.1396,4.93705e-05,0.045,3.89999e-06,0.1601,2.28e-05,0.0662
0.14155,4.99702e-05,0.0447,3.89999e-06,0.1601,2.28e-05,0.0662
0.14351,4.90707e-05,0.0451,3.89999e-06,0.1601,1.98e-05,0.0711
0.14546,5.25686e-05,0.0436,5.59999e-06,0.1336,2.26e-05,0.0665
0.14741,5.1869e-05,0.0439,4.39999e-06,0.1508,2.48e-05,0.0635
0.14936,5.67661e-05,0.042,4.19999e-06,0.1543,2.24e-05,0.0668
0.15132,5.44675e-05,0.0428,3.59999e-06,0.1667,2.52e-05,0.063
0.15327,5.47673e-05,0.0427,4.29999e-06,0.1525,2.7e-05,0.0609
0.15522,5.84651e-05,0.0413,3.29999e-06,0.1741,2.63e-05,0.0617
0.15717,5.97643e-05,0.0409,3.39999e-06,0.1715,3.15e-05,0.0563
0.15912,6.15633e-05,0.0403,3.19999e-06,0.1768,2.62e-05,0.0618
0.16108,6.33622e-05,0.0397,3.89999e-06,0.1601,2.87e-05,0.059
0.16303,6.10636e-05,0.0405,3.69999e-06,0.1644,3.05e-05,0.0573
0.16498,6.5361e-05,0.0391,4.29999e-06,0.1525,3.19e-05,0.056
0.16693,6.79594e-05,0.0383,3.79999e-06,0.1622,3.31e-05,0.055
0.16888,7.01581e-05,0.0377,3.89999e-06,0.1601,2.97e-05,0.058
0.17084,7.30564e-05,0.037,4.29999e-06,0.1525,3.02e-05,0.0575
0.17279,6.71599e-05,0.0386,4.19999e-06,0.1543,3.23e-05,0.0556
0.17474,7.35561e-05,0.0369,3.69999e-06,0.1644,3.88e-05,0.0508
0.17669,7.47554e-05,0.0366,4.39999e-06,0.1508,3.61e-05,0.0526
0.17865,7.21569e-05,0.0372,5.09999e-06,0.14,4.19e-05,0.0489
0.1806,7.93526e-05,0.0355,3.69999e-06,0.1644,3.91e-05,0.0506
0.18255,7.68541e-05,0.0361,3.49999e-06,0.169,3.92e-05,0.0505
0.1845,7.7054e-05,0.036,4.69999e-06,0.1459,3.8e-05,0.0513
0.18645,7.98523e-05,0.0354,4.39999e-06,0.1508,3.81e-05,0.0512
0.18841,8.22509e-05,0.0349,4.59999e-06,0.1474,4.2e-05,0.0488
0.19036,7.78535e-05,0.0358,3.59999e-06,0.1667,4.37e-05,0.0478
